Time,Channel A,Channel B
(s),(V),(A)

2.30589998,-0.08396900,0.42261317
2.30594998,0.16793799,0.42261317
2.30599998,0.16793799,0.40569636
2.30604998,-0.16793799,0.42261317
2.30609998,0.00000000,0.41415480
2.30614998,0.16793799,0.41415480
2.30619998,0.08396900,0.40569636
2.30624998,-0.16793799,0.40569636
2.30629998,0.08396900,0.40569636
2.30634998,0.08396900,0.39723796
2.30639998,-0.16793799,0.40569636
2.30644998,0.00000000,0.38881031
2.30649998,0.25221458,0.36343503
2.30654998,0.00000000,0.37189347
2.30659998,-0.08396900,0.35497662
2.30664998,0.16793799,0.35497662
2.30669998,0.08396900,0.38035187
2.30674998,-0.08396900,0.39723796
2.30679998,0.00000000,0.40569636
2.30684998,0.25221458,0.43107158
2.30689998,-0.08396900,0.41415480
2.30694998,-0.16793799,0.41415480
2.30699998,0.08396900,0.43107158
2.30704998,0.16793799,0.42261317
2.30709998,-0.08396900,0.43107158
2.30714998,0.00000000,0.41415480
2.30719998,0.25221458,0.41415480
2.30724998,0.00000000,0.42261317
2.30729998,-0.16793799,0.41415480
2.30734998,0.16793799,0.39723796
2.30739998,0.16793799,0.40569636
2.30744998,-0.08396900,0.40569636
2.30749998,-0.08396900,0.41415480
2.30754998,0.25221458,0.40569636
2.30759998,0.00000000,0.40569636
2.30764998,-0.16793799,0.40569636
2.30769998,0.08396900,0.39723796
2.30774998,0.25221458,0.38035187
2.30779998,-0.08396900,0.40569636
2.30784998,-0.08396900,0.40569636
2.30789998,0.16793799,0.38035187
2.30794998,0.08396900,0.38035187
2.30799998,-0.16793799,0.38881031
2.30804998,0.00000000,0.37189347
2.30809998,0.25221458,0.35497662
2.30814998,-0.16793799,0.36343503
2.30819998,-0.16793799,0.38881031
2.30824998,0.16793799,0.40569636
2.30829998,0.08396900,0.43107158
2.30834998,-0.16793799,0.42261317
2.30839998,0.08396900,0.43949926
2.30844998,0.16793799,0.43949926
2.30849998,-0.08396900,0.43107158
2.30854998,-0.08396900,0.44795766
2.30859998,0.25221458,0.43107158
2.30864998,0.00000000,0.43107158
2.30869998,-0.08396900,0.43107158
2.30874998,0.16793799,0.42261317
2.30879998,0.08396900,0.42261317
2.30884998,-0.16793799,0.43949926
2.30889998,0.00000000,0.42261317
2.30894998,0.16793799,0.42261317
2.30899998,0.00000000,0.43107158
2.30904998,-0.08396900,0.42261317
2.30909998,0.16793799,0.41415480
2.30914998,0.16793799,0.41415480
2.30919998,-0.16793799,0.41415480
2.30924998,0.00000000,0.41415480
2.30929998,0.16793799,0.41415480
2.30934998,-0.08396900,0.39723796
2.30939998,-0.08396900,0.38881031
2.30944998,0.25221458,0.36343503
2.30949998,0.00000000,0.34651819
2.30954998,-0.16793799,0.35497662
2.30959998,0.08396900,0.34651819
2.30964998,0.16793799,0.35497662
2.30969998,-0.08396900,0.37189347
2.30974998,-0.08396900,0.38881031
2.30979998,0.25221458,0.40569636
2.30984998,0.08396900,0.42261317
2.30989998,-0.16793799,0.43107158
2.30994998,0.08396900,0.43107158
2.30999998,0.16793799,0.43107158
2.31004998,-0.16793799,0.43107158
2.31009998,0.00000000,0.41415480
2.31014998,0.25221458,0.42261317
2.31019998,0.00000000,0.42261317
2.31024998,-0.08396900,0.42261317
2.31029998,0.16793799,0.43949926
2.31034998,0.16793799,0.40569636
2.31039998,-0.16793799,0.43107158
2.31044998,-0.08396900,0.41415480
2.31049998,0.16793799,0.41415480
2.31054998,0.00000000,0.41415480
2.31059998,-0.16793799,0.40569636
2.31064998,0.08396900,0.40569636
2.31069998,0.16793799,0.41415480
2.31074998,-0.08396900,0.41415480
2.31079998,-0.08396900,0.40569636
2.31084998,0.16793799,0.39723796
2.31089998,0.16793799,0.39723796
2.31094998,-0.16793799,0.38035187
2.31099998,0.00000000,0.37189347
2.31104998,0.25221458,0.34651819
2.31109998,-0.08396900,0.34651819
2.31114998,-0.08396900,0.38035187
2.31119998,0.16793799,0.39723796
2.31124998,0.08396900,0.42261317
2.31129998,-0.16793799,0.42261317
2.31134998,0.16793799,0.43949926
2.31139998,0.08396900,0.42261317
2.31144998,-0.16793799,0.42261317
2.31149998,0.00000000,0.43949926
2.31154998,0.25221458,0.43107158
2.31159998,-0.08396900,0.42261317
2.31164998,-0.08396900,0.42261317
2.31169998,0.16793799,0.41415480
2.31174998,0.00000000,0.42261317
2.31179998,-0.16793799,0.41415480
2.31184998,0.00000000,0.41415480
2.31189998,0.16793799,0.41415480
2.31194998,-0.08396900,0.40569636
2.31199998,0.00000000,0.40569636
2.31204998,0.16793799,0.43107158
2.31209998,0.00000000,0.40569636
2.31214998,-0.08396900,0.40569636
2.31219998,0.16793799,0.40569636
2.31224998,0.08396900,0.41415480
2.31229998,-0.16793799,0.39723796
2.31234998,0.08396900,0.38035187
2.31239998,0.25221458,0.38881031
2.31244998,-0.08396900,0.38035187
2.31249998,-0.08396900,0.37189347
2.31254998,0.16793799,0.35497662
2.31259998,0.16793799,0.35497662
2.31264998,-0.16793799,0.37189347
2.31269998,0.08396900,0.38881031
2.31274998,0.25221458,0.41415480
2.31279998,-0.08396900,0.42261317
2.31284998,-0.08396900,0.41415480
2.31289998,0.16793799,0.43107158
2.31294998,0.08396900,0.43107158
2.31299998,-0.16793799,0.42261317
2.31304998,0.08396900,0.43107158
2.31309998,0.16793799,0.43949926
2.31314998,-0.08396900,0.42261317
2.31319998,0.00000000,0.41415480
2.31324998,0.16793799,0.41415480
2.31329998,0.00000000,0.43107158
2.31334998,-0.08396900,0.42261317
2.31339998,0.16793799,0.41415480
2.31344998,0.16793799,0.41415480
2.31349998,-0.16793799,0.42261317
2.31354998,0.00000000,0.41415480
2.31359998,0.16793799,0.42261317
2.31364998,-0.08396900,0.40569636
2.31369998,-0.16793799,0.40569636
2.31374998,0.16793799,0.43949926
2.31379998,0.16793799,0.40569636
2.31384998,-0.16793799,0.40569636
2.31389998,-0.08396900,0.38035187
2.31394998,0.25221458,0.38035187
2.31399998,0.00000000,0.38035187
2.31404998,-0.16793799,0.36343503
2.31409998,0.16793799,0.36343503
2.31414998,0.08396900,0.39723796
2.31419998,-0.08396900,0.39723796
2.31424998,0.00000000,0.43107158
2.31429998,0.25221458,0.43107158
2.31434998,0.00000000,0.41415480
2.31439998,-0.16793799,0.42261317
2.31444998,0.16793799,0.43107158
2.31449998,0.16793799,0.43949926
2.31454998,-0.16793799,0.42261317
2.31459998,0.08396900,0.40569636
2.31464998,0.25221458,0.42261317
2.31469998,0.00000000,0.41415480
2.31474998,-0.16793799,0.41415480
2.31479998,0.16793799,0.41415480
2.31484998,0.16793799,0.42261317
2.31489998,-0.16793799,0.41415480
2.31494998,-0.08396900,0.40569636
2.31499998,0.25221458,0.42261317
2.31504998,0.08396900,0.41415480
2.31509998,-0.16793799,0.42261317
2.31514998,0.08396900,0.42261317
2.31519998,0.25221458,0.41415480
2.31524998,-0.08396900,0.41415480
2.31529998,-0.08396900,0.39723796
2.31534998,0.16793799,0.38035187
2.31539998,0.08396900,0.37189347
2.31544998,-0.08396900,0.37189347
2.31549998,0.08396900,0.35497662
2.31554998,0.16793799,0.35497662
2.31559998,-0.16793799,0.36343503
2.31564998,0.00000000,0.38881031
2.31569998,0.25221458,0.42261317
2.31574998,0.00000000,0.43107158
2.31579998,-0.08396900,0.43949926
2.31584998,0.08396900,0.43949926
2.31589998,0.08396900,0.44795766
2.31594998,-0.16793799,0.43949926
2.31599998,-0.08396900,0.43107158
2.31604998,0.16793799,0.41415480
2.31609998,-0.08396900,0.43107158
2.31614998,-0.08396900,0.43107158
2.31619998,0.16793799,0.43107158
2.31624998,0.16793799,0.41415480
2.31629998,-0.08396900,0.40569636
2.31634998,-0.08396900,0.41415480
2.31639998,0.25221458,0.41415480
2.31644998,0.08396900,0.41415480
2.31649998,-0.16793799,0.40569636
2.31654998,0.08396900,0.41415480
2.31659998,0.16793799,0.41415480
2.31664998,-0.08396900,0.40569636
2.31669998,-0.16793799,0.38881031
2.31674998,0.16793799,0.38881031
2.31679998,0.08396900,0.40569636
2.31684998,-0.16793799,0.37189347
2.31689998,-0.08396900,0.36343503
2.31694998,0.16793799,0.33809054
2.31699998,0.00000000,0.36343503
2.31704998,-0.16793799,0.36343503
2.31709998,0.08396900,0.37189347
2.31714998,0.08396900,0.39723796
2.31719998,-0.16793799,0.41415480
2.31724998,-0.08396900,0.41415480
2.31729998,0.16793799,0.43949926
2.31734998,-0.08396900,0.43107158
2.31739998,-0.08396900,0.43107158
2.31744998,0.25221458,0.43949926
2.31749998,0.08396900,0.43107158
2.31754998,-0.08396900,0.41415480
2.31759998,0.08396900,0.40569636
2.31764998,0.16793799,0.41415480
2.31769998,-0.08396900,0.41415480
2.31774998,0.00000000,0.41415480
2.31779998,0.25221458,0.41415480
2.31784998,0.00000000,0.40569636
2.31789998,-0.16793799,0.40569636
2.31794998,0.08396900,0.42261317
2.31799998,0.16793799,0.42261317
2.31804998,-0.08396900,0.41415480
2.31809998,0.00000000,0.40569636
2.31814998,0.25221458,0.42261317
2.31819998,0.00000000,0.39723796
2.31824998,-0.08396900,0.40569636
2.31829998,0.16793799,0.38881031
2.31834998,0.08396900,0.36343503
2.31839998,-0.16793799,0.35497662
2.31844998,0.08396900,0.38035187
2.31849998,0.16793799,0.35497662
2.31854998,-0.16793799,0.35497662
2.31859998,0.00000000,0.37189347
2.31864998,0.16793799,0.40569636
2.31869998,0.08396900,0.42261317
2.31874998,-0.16793799,0.43107158
2.31879998,0.08396900,0.44795766
2.31884998,0.16793799,0.43107158
2.31889998,-0.16793799,0.42261317
2.31894998,0.00000000,0.43949926
2.31899998,0.25221458,0.43107158
2.31904998,-0.08396900,0.42261317
2.31909998,-0.08396900,0.40569636
2.31914998,0.16793799,0.43107158
2.31919998,0.16793799,0.41415480
2.31924998,-0.16793799,0.40569636
2.31929998,0.00000000,0.42261317
2.31934998,0.25221458,0.43107158
2.31939998,0.00000000,0.41415480
2.31944998,-0.16793799,0.41415480
2.31949998,0.16793799,0.40569636
2.31954998,0.16793799,0.41415480
2.31959998,-0.08396900,0.42261317
2.31964998,0.00000000,0.41415480
2.31969998,0.16793799,0.40569636
2.31974998,-0.08396900,0.39723796
2.31979998,-0.08396900,0.38881031
2.31984998,0.16793799,0.38881031
2.31989998,0.08396900,0.37189347
2.31994998,-0.16793799,0.34651819
2.31999998,0.16793799,0.34651819
2.32004998,0.16793799,0.35497662
2.32009998,-0.16793799,0.38881031
2.32014998,0.00000000,0.40569636
2.32019998,0.25221458,0.40569636
2.32024998,0.00000000,0.42261317
2.32029998,-0.08396900,0.41415480
2.32034998,0.25221458,0.42261317
2.32039998,0.08396900,0.43107158
2.32044998,-0.08396900,0.43107158
2.32049998,0.00000000,0.42261317
2.32054998,0.25221458,0.42261317
2.32059998,0.00000000,0.41415480
2.32064998,-0.08396900,0.42261317
2.32069998,0.25221458,0.40569636
2.32074998,0.08396900,0.40569636
2.32079998,-0.08396900,0.42261317
2.32084998,0.16793799,0.43107158
2.32089998,0.25221458,0.43107158
2.32094998,-0.08396900,0.40569636
2.32099998,-0.08396900,0.41415480
2.32104998,0.16793799,0.42261317
2.32109998,0.00000000,0.42261317
2.32114998,-0.08396900,0.40569636
2.32119998,0.16793799,0.41415480
2.32124998,0.16793799,0.40569636
2.32129998,-0.16793799,0.38881031
2.32134998,0.08396900,0.38035187
2.32139998,0.25221458,0.36343503
2.32144998,-0.08396900,0.35497662
2.32149998,-0.08396900,0.34651819
2.32154998,0.25221458,0.37189347
2.32159998,0.00000000,0.41415480
2.32164998,-0.16793799,0.39723796
2.32169998,0.16793799,0.40569636
2.32174998,0.08396900,0.41415480
2.32179998,-0.16793799,0.43949926
2.32184998,0.16793799,0.43107158
2.32189998,0.16793799,0.43949926
2.32194998,-0.08396900,0.42261317
2.32199998,0.00000000,0.43949926
2.32204998,0.25221458,0.41415480
2.32209998,0.00000000,0.40569636
2.32214998,0.00000000,0.40569636
2.32219998,0.25221458,0.38881031
2.32224998,0.00000000,0.40569636
2.32229998,-0.08396900,0.41415480
2.32234998,0.25221458,0.39723796
2.32239998,0.00000000,0.40569636
2.32244998,-0.16793799,0.39723796
2.32249998,0.08396900,0.40569636
2.32254998,0.16793799,0.40569636
2.32259998,-0.16793799,0.42261317
2.32264998,0.00000000,0.39723796
2.32269998,0.25221458,0.41415480
2.32274998,0.00000000,0.38881031
2.32279998,-0.16793799,0.38881031
2.32284998,0.08396900,0.36343503
2.32289998,0.16793799,0.37189347
2.32294998,-0.08396900,0.37189347
2.32299998,0.00000000,0.36343503
2.32304998,0.16793799,0.38035187
2.32309998,0.00000000,0.40569636
2.32314998,-0.16793799,0.41415480
2.32319998,0.16793799,0.43107158
2.32324998,0.08396900,0.43949926
2.32329998,-0.16793799,0.43949926
2.32334998,0.16793799,0.41415480
2.32339998,0.16793799,0.42261317
2.32344998,-0.16793799,0.43949926
2.32349998,0.08396900,0.42261317
2.32354998,0.16793799,0.43949926
2.32359998,-0.08396900,0.42261317
2.32364998,0.00000000,0.42261317
2.32369998,0.25221458,0.43107158
2.32374998,-0.08396900,0.42261317
2.32379998,-0.08396900,0.41415480
2.32384998,0.16793799,0.43107158
2.32389998,0.08396900,0.43107158
2.32394998,-0.16793799,0.42261317
2.32399998,0.00000000,0.41415480
2.32404998,0.25221458,0.43107158
2.32409998,0.00000000,0.39723796
2.32414998,-0.08396900,0.41415480
2.32419998,0.16793799,0.38881031
2.32424998,0.08396900,0.40569636
2.32429998,-0.16793799,0.38035187
2.32434998,0.16793799,0.34651819
2.32439998,0.16793799,0.37189347
2.32444998,-0.16793799,0.35497662
2.32449998,0.00000000,0.35497662
2.32454998,0.16793799,0.37189347
2.32459998,-0.08396900,0.40569636
2.32464998,-0.08396900,0.40569636
2.32469998,0.16793799,0.41415480
2.32474998,0.00000000,0.43949926
2.32479998,-0.08396900,0.43107158
2.32484998,0.25221458,0.43107158
2.32489998,0.08396900,0.43107158
2.32494998,-0.16793799,0.43107158
2.32499998,0.08396900,0.40569636
2.32504998,0.16793799,0.42261317
2.32509998,-0.16793799,0.39723796
2.32514998,0.00000000,0.41415480
2.32519998,0.25221458,0.41415480
2.32524998,0.00000000,0.41415480
2.32529998,-0.08396900,0.41415480
2.32534998,0.25221458,0.41415480
2.32539998,0.08396900,0.40569636
2.32544998,-0.16793799,0.42261317
2.32549998,0.08396900,0.41415480
2.32554998,0.16793799,0.40569636
2.32559998,-0.16793799,0.40569636
2.32564998,0.00000000,0.41415480
2.32569998,0.25221458,0.38881031
2.32574998,-0.08396900,0.40569636
2.32579998,0.00000000,0.37189347
2.32584998,0.25221458,0.42261317
2.32589998,0.00000000,0.37189347
2.32594998,-0.08396900,0.35497662
2.32599998,0.08396900,0.35497662
2.32604998,0.16793799,0.38881031
2.32609998,-0.16793799,0.40569636
2.32614998,0.00000000,0.40569636
2.32619998,0.16793799,0.42261317
2.32624998,-0.16793799,0.43949926
2.32629998,0.00000000,0.42261317
2.32634998,0.16793799,0.43107158
2.32639998,-0.08396900,0.43949926
2.32644998,0.00000000,0.43107158
2.32649998,0.25221458,0.42261317
2.32654998,0.00000000,0.42261317
2.32659998,-0.08396900,0.41415480
2.32664998,0.25221458,0.41415480
2.32669998,0.08396900,0.42261317
2.32674998,-0.16793799,0.41415480
2.32679998,0.16793799,0.42261317
2.32684998,0.16793799,0.40569636
2.32689998,-0.16793799,0.41415480
2.32694998,0.08396900,0.39723796
2.32699998,0.16793799,0.39723796
2.32704998,-0.08396900,0.38881031
2.32709998,-0.08396900,0.39723796
2.32714998,0.25221458,0.39723796
2.32719998,0.00000000,0.38035187
2.32724998,-0.08396900,0.38035187
2.32729998,0.25221458,0.37189347
2.32734998,-0.08396900,0.36343503
2.32739998,-0.16793799,0.35497662
2.32744998,0.16793799,0.34651819
2.32749998,0.08396900,0.36343503
2.32754998,-0.08396900,0.38881031
2.32759998,0.16793799,0.38881031
2.32764998,0.16793799,0.40569636
2.32769998,-0.16793799,0.41415480
2.32774998,0.00000000,0.43949926
2.32779998,0.25221458,0.43107158
2.32784998,0.00000000,0.42261317
2.32789998,-0.16793799,0.43107158
2.32794998,0.08396900,0.42261317
2.32799998,0.16793799,0.42261317
2.32804998,-0.16793799,0.42261317
2.32809998,0.00000000,0.40569636
2.32814998,0.16793799,0.40569636
2.32819998,-0.08396900,0.42261317
2.32824998,0.00000000,0.41415480
2.32829998,0.16793799,0.41415480
2.32834998,-0.08396900,0.42261317
2.32839998,0.00000000,0.41415480
2.32844998,0.25221458,0.42261317
2.32849998,-0.08396900,0.40569636
2.32854998,-0.08396900,0.40569636
2.32859998,0.16793799,0.41415480
2.32864998,0.00000000,0.41415480
2.32869998,-0.16793799,0.38881031
2.32874998,0.16793799,0.39723796
2.32879998,0.16793799,0.37189347
2.32884998,-0.16793799,0.37189347
2.32889998,-0.08396900,0.36343503
2.32894998,0.25221458,0.37189347
2.32899998,-0.08396900,0.38881031
2.32904998,-0.08396900,0.39723796
2.32909998,0.25221458,0.40569636
2.32914998,0.00000000,0.43107158
2.32919998,-0.08396900,0.43949926
2.32924998,0.16793799,0.42261317
2.32929998,0.08396900,0.43949926
2.32934998,-0.16793799,0.43107158
2.32939998,0.08396900,0.42261317
2.32944998,0.16793799,0.42261317
2.32949998,-0.08396900,0.41415480
2.32954998,0.00000000,0.40569636
2.32959998,0.25221458,0.40569636
